key	ko-KR	zh-CN	en-US	ja-JP	zh-TW
SETTING_NOTIFICATION_READY_SANGVIS_RESCAN_TOOLTIP	목표수색 준비 시 알림	목표수색 준비 시 알림	Notify when Coalition Rescan is ready	融合地区再スキャンが可能となった場合にアラート	可以重新搜索時通知
SETTING_NOTIFICATION_MAXIMUM_DOLL	인형	人形仓库	Max T-Doll	人形倉庫	人形倉庫
SETTING_NOTIFICATION_MAXIMUM_DOLL_TOOLTIP	인형 상한 도달 시 알림	人形仓库到上限时通知	Notify when T-Doll Slot limit has reached	人形倉庫上限になる場合アラート	人形倉庫達到上限時通知
SETTING_NOTIFICATION_MAXIMUM_EQUIP	장비	装备仓库	Max Equip	装備倉庫	裝備倉庫
SETTING_NOTIFICATION_MAXIMUM_EQUIP_TOOLTIP	장비 상한 도달 시 알림	装备仓库到上限时通知	Notify when Equip Depot limit has reached	装備倉庫上限になる場合アラート	裝備倉庫達到上限時通知
SETTING_NOTIFICATION_MAXIMUM_FAIRY	요정	요정 창고	Max Fairy	妖精倉庫	妖精倉庫
SETTING_NOTIFICATION_MAXIMUM_FAIRY_TOOLTIP	요정 상한 도달 시 알림	요정 상한 도달 시 알림	Notify when Fairy Slot limit has reached	妖精倉庫上限になる場合アラート	妖精倉庫達到上限時通知
SETTING_NOTIFICATION_MAXIMUM_SANGVIS	혼합세력	혼합세력창고	Max Coalition	融合倉庫	融合勢力倉庫
SETTING_NOTIFICATION_MAXIMUM_SANGVIS_TOOLTIP	혼합세력 상한 도달 시 알림	혼합세력창고 상한 도달 시 알림	Notify when Coalition Slot limit has reached	融合倉庫上限になる場合アラート倉庫上限になる場合アラート	融合勢力倉庫達到上限時通知
SETTING_NOTIFICATION_MAXIMUM_SURPLUS_EXP	자유경험치	全局经验值	Max Surplus Exp	トータル経験値	全域經驗值
SETTING_NOTIFICATION_MAXIMUM_SURPLUS_EXP_TOOLTIP	자유경험치 상한 도달 시 알림	全局经验值到上限时通知	Notify when Surplus Exp limit has reached	トータル経験値上限になる場合アラート	全域經驗值到上限時通知
SETTING_NOTIFICATION_MAXIMUM_EVENT_BOX	보급상자	보급상자	Event Box	イベントアイテム	活動物資箱
SETTING_NOTIFICATION_MAXIMUM_EVENT_BOX_TOOLTIP	일일 보급상자 획득 상한 도달 시 알림	일일 보급상자 획득 상한 도달 시 알림	Notify when Event Box limit has reached	イベントアイテム（補給箱/ポイント）が獲得上限到達時にアラート	達到活動物資箱獲取上限時通知
SETTING_NOTIFICATION_MISSION_GROUP	전역 알림	作战通知	Mission	戦役アラート	作戰通知
SETTING_NOTIFICATION_MISSION_RESCUE_DOLL	인형 획득	获得人形	Rescue T-Doll	人形獲得	獲得人形
SETTING_NOTIFICATION_MISSION_RESCUE_DOLL_TOOLTIP	설정된 레어도 이상 인형 획득 시 알림[br][font color='#ffb400'](콜라보 인형은 5성으로 취급)[/font]	获得设定的稀有度以上的人形时通知[br][font color='#ffb400'](特典人形视为5星人形)[/font]	Notify when T-Doll above set Rarity has rescued[br][font color='#ffb400'](Collb T-Doll counts as 5 Star)[/font]	設定されたレアリティ以上の人形を獲得した場合アラート[br][font color='#ffb400'](☆1人形は☆5として扱います)[/font]	獲得設定稀有度以上的人形時通知[br][font color='#ffb400'](特典人形視為5星人形)[/font]
SETTING_NOTIFICATION_MISSION_RESCUE_DOLL_UNIT	성	星	S	星	星
SETTING_NOTIFICATION_MISSION_GET_EQUIP	장비 획득	获得装备	Get Equip	装備獲得	獲得裝備
SETTING_NOTIFICATION_MISSION_GET_EQUIP_TOOLTIP	설정된 레어도 이상 장비 획득 시 알림[br][font color='#ffb400'](전용장비는 5성으로 취급)[/font]	获得设定的稀有度以上的装备时通知[br][font color='#ffb400'](专属装备视为5星装备)[/font]	Notify when Equip above set Rarity has obtained[br][font color='#ffb400'](Sp. Equip counts as 5 Star)[/font]	設定されたレアリティ以上の装備を獲得した場合アラート[br][font color='#ffb400'](専用装備は☆5扱い)[/font]	獲得設定稀有度以上的裝備時通知[br][font color='#ffb400'](裝屬裝備視為5星裝備)[/font]
SETTING_NOTIFICATION_MISSION_GET_EQUIP_UNIT	성	星	S	星	星
SETTING_NOTIFICATION_MISSION_WIN	전역 승리	作战胜利	Mission Success	戦役勝利	作戰勝利
SETTING_NOTIFICATION_MISSION_WIN_TOOLTIP	전역 승리 시 알림	作战胜利时通知	Notify when Mission is success	戦役勝利した場合アラート	當作戰勝利時通知
SETTING_NOTIFICATION_MISSION_MOVE_TEAM	제대이동 완료	梯队移动结束	Move Complete	部隊移動完了	梯隊移動結束
SETTING_NOTIFICATION_MISSION_MOVE_TEAM_TOOLTIP	설정된 횟수만큼 제대이동 후 알림	按设定的次数梯队移动后通知	Notify after set amount of Echelon movement has completed	設定された回数分部隊移動後アラート	當達到指定梯隊移動次数後通知
SETTING_NOTIFICATION_MISSION_MOVE_TEAM_UNIT	회	回	T	回	回
SETTING_NOTIFICATION_MISSION_MOVE_TEAM_AND_WIN_BATTLE	전투 후 알림	战后通知	Post-Battle Complete	戦闘後アラート	戰後通知
SETTING_NOTIFICATION_MISSION_MOVE_TEAM_AND_WIN_BATTLE_TOOLTIP	설정된 횟수만큼 제대이동 후 전투가 완료되면 알림	按设定的次数梯队移动后战斗结束时通知	Notify after set amount of Echelon movements and battle has completed	部隊が設定された回数移動した後、戦闘終了時にアラート	當達到指定梯隊移動次数及戰鬥結束後通知
SETTING_NOTIFICATION_DOLL_GROUP	인형 알림	人形通知	Doll	人形アラート	人形通知
SETTING_NOTIFICATION_DOLL_NEED_DUMMY_LINK	편제확대 필요	需要编制扩大	Dummy Link	編制拡大が必要	擴編通知設定
SETTING_NOTIFICATION_DOLL_NEED_DUMMY_LINK_TOOLTIP	편제확대 필요한 인형 알림	通知需要编制扩大的人形	Notify T-Doll requiring Dummy Link	人形が編制拡大可能になった場合アラート	設定需要擴編的編制數
SETTING_NOTIFICATION_DOLL_HP_WARNING	체력 경고	体力警告	HP Warning	体力警告	生命警示
SETTING_NOTIFICATION_DOLL_HP_WARNING_TOOLTIP	설정된 체력 이하로 떨어진 인형 알림[br][font color='#ffb400'](중상 기준 30%)[/font]	通知降到设定体力以下的人形[br][font color='#ffb400'](重伤标准 30%)[/font]	Notify when T-Doll's HP drops below set amount[br][font color='#ffb400'](Critically Damaged at 30%)[/font]	設定した体力の割合まで人形が損傷した場合アラート[br][font color='#ffb400'](重傷基準30%)[/font]	設定的人形生命低於指定數值時通知[br][font color='#ffb400'](重傷為 30%)[/font]
SETTING_NOTIFICATION_DOLL_MAX_LEVEL	최대 레벨	最大等级	Maximum Level	最大レベル	最大等级
SETTING_NOTIFICATION_DOLL_MAX_LEVEL_TOOLTIP	최대 레벨 도달 인형 알림	通知达到最大等级的人形	Notify when T-Doll's level reaches maximum level	人形が最大レベル到達した場合アラート	當人形達到最大等即時通知
SETTING_NOTIFICATION_PRODUCE_GROUP	제조 알림	制造通知	Production	製造アラート	製造通知
SETTING_NOTIFICATION_PRODUCE_DOLL	인형 제조	人形制造	T-Doll Production	人形製造	人形製造
SETTING_NOTIFICATION_PRODUCE_DOLL_TOOLTIP	제조된 인형을 알림	通知制造的人形	Notify when T-Doll production has completed	製造完了した人形をアラート	當製造出指定星數人形時通知
SETTING_NOTIFICATION_PRODUCE_DOLL_5_STAR	인형 제조 (5성)	制造5星人形	T-Doll Production (5 Star)	☆5人形製造	製造出5星人形
SETTING_NOTIFICATION_PRODUCE_DOLL_5_STAR_TOOLTIP	제조된 5성 인형을 알림	通知制造5星人形	Notify when 5 Star T-Doll production has completed	製造完了した☆5人形をアラート	5星人形製作完成
SETTING_NOTIFICATION_PRODUCE_EQUIP	장비제조	装备制造	Equip Production	装備製造	製造出5星裝備
SETTING_NOTIFICATION_PRODUCE_EQUIP_TOOLTIP	제조된 장비를 알림	通知制造的装备	Notify when Equip production has completed	製造完了した装備をアラート	當製造出指定星數裝備時通知
SETTING_NOTIFICATION_PRODUCE_EQUIP_5_STAR	장비 제조 (5성)	制造5星装备	Equip Production (5 Star)	星5装備製造	製造5星裝備
SETTING_NOTIFICATION_PRODUCE_EQUIP_5_STAR_TOOLTIP	제조된 5성 장비를 알림	通知制造5星装备	Notify when 5 Star Equip production has completed	製造完了した☆5装備をアラート	5星裝備製作完成
SETTING_NOTIFICATION_PRODUCE_SHOTGUN	샷건 제조	霰弹枪制造	Shotgun Production	ショットガン製造	霰彈槍製造
SETTING_NOTIFICATION_PRODUCE_SHOTGUN_TOOLTIP	제조된 샷건 인형을 알림	通知制造的霰弹枪	Notify when Shotgun T-Doll production has completed	製造完了したショットガン人形をアラート	霰彈槍製作完成
SETTING_NOTIFICATION_PRODUCE_FAIRY	요정 제조	妖精制造	Fairy Production	妖精製造	妖精製造
SETTING_NOTIFICATION_PRODUCE_FAIRY_TOOLTIP	제조된 요정을 알림	通知制造的妖精	Notify when Fairy production has completed	製造完了した妖精をアラート	當製作出妖精時通知
SETTING_NOTIFICATION_COSTUME_GROUP	지휘관 복장 효과	指挥官服装效果	Costume	指揮官アバター効果	指揮官服裝效果
SETTING_NOTIFICATION_COSTUME_DOLL_EXP_BONUS	브리핑 능력	作战总结	Briefing Skill	ブリーフィング能力	作戰總結
SETTING_NOTIFICATION_COSTUME_DOLL_EXP_BONUS_TOOLTIP	전투에서 얻는 인형 경험치 상승[br][font color='#ffb400'](상승 보너스)[/font]	战斗产生的人形经验[br][font color='#ffb400'](上升)[/font]	Increase T-Doll Exp earned during battle[br][font color='#ffb400'](Increase Bonus)[/font]	戦闘で得る人形経験値上昇[br][font color='#ffb400'](上昇ボーナス)[/font]	戰鬥產生的人形經驗、融合勢力經驗增加[br][font color='#ffb400'](每級提升)[/font]
SETTING_NOTIFICATION_COSTUME_FAIRY_EXP_BONUS	심화 학습	深入学习	Deep Learning	ディープラーニング	深度學習
SETTING_NOTIFICATION_COSTUME_FAIRY_EXP_BONUS_TOOLTIP	전투에서 얻는 요정 경험치 상승[br][font color='#ffb400'](상승 보너스)[/font]	战斗中获得的妖精的经验值上升[br][font color='#ffb400'](上涨奖金)[/font]	Increase Fairy EXP earned during battle[br][font color='#ffb400'](Increase Bonus)[/font]	戦闘で得る妖精経験値上昇[br][font color='#ffb400'](上昇ボーナス)[/font]	戰鬥產生的妖精經驗上升[br][font color='#ffb400'](每級提升)[/font]
SETTING_NOTIFICATION_COSTUME_RESTORE_TIME	자장가	摇篮曲	Lullaby	子守歌	搖籃曲
SETTING_NOTIFICATION_COSTUME_RESTORE_TIME_TOOLTIP	인형/중장비 수복 시간 단축[br][font color='#ffb400'](단축 보너스)[/font]	重装人形和普通人形的修复时间减少[br][font color='#ffb400'](减少)[/font]	Decrease T-Doll/HOC Repair time[br][font color='#ffb400'](Decrease Bonus)[/font]	人形/重装部隊修理時間短縮[br][font color='#ffb400'](短縮ボーナス)[/font]	修復時間減少，包括人形、重裝和融合勢力[br][font color='#ffb400'](每級提升)[/font]
SETTING_NOTIFICATION_COSTUME_SKILL_TIME	속성 훈련	速成培训	Haste Training	速成訓練	速成培訓
SETTING_NOTIFICATION_COSTUME_SKILL_TIME_TOOLTIP	인형/요정/중장비 스킬 훈련 시간 단축[br][font color='#ffb400'](단축 보너스)[/font]	减少技能训练时间[br][font color='#ffb400'](减少)[/font]	Decrease T-Doll/Fairy/HOC Skill Training time[br][font color='#ffb400'](Decrease Bonus)[/font]	人形/妖精/重装部隊　スキル訓練時間短縮[br][font color='#ffb400'](短縮ボーナス)[/font]	技能訓練時間縮短[br][font color='#ffb400'](每級提升)[/font]
SETTING_NOTIFICATION_EXTRA_GROUP	기타	其他	Extra	その他	其他
SETTING_NOTIFICATION_EXTRA_CONNECT	연결 알림	Connect Notification	Connect Notification	接続通知	連線通知
SETTING_NOTIFICATION_EXTRA_CONNECT_TOOLTIP	연결 성공 알림	연결 성공 알림	Notify successful connection	ゲームデータを読み込んだ時にアラートを行う	連線完成時通知
SETTING_NOTIFICATION_EXTRA_ADVANCED_NOTIFICATION	미리 알림	预先通知	Advanced Notification	事前アラート	預先通知
SETTING_NOTIFICATION_EXTRA_ADVANCED_NOTIFICATION_TOOLTIP	알림들이 설정된 시간만큼 일찍 울리게 설정	设定让通知像设定的时间一样早点响起	Notify in advance for set amount of time	設定した秒数分事前にアラートを行う	使通知提早指定的秒數
SETTING_NOTIFICATION_EXTRA_ADVANCED_NOTIFICATION_UNIT	초	秒	Sec	秒	秒
// Setting					
SETTING_LANGUAGE_GROUP	언어	语言设置	Language	言語設定	語言設定
SETTING_NOTIFICATION_GROUP	알림 설정	通知设置	Notification	アラート設定	通知設定
SETTING_TOAST_GROUP	윈도우 알림	操作系统设置	Windows Notification	Windowsアラート	Windows通知設定
SETTING_TOAST_USE_NOTIFICATION	윈도우 알림	操作系统设置	Windows Notification	Windowsアラート	啟用Windows通知
SETTING_TOAST_USE_NOTIFICATION_TOOLTIP	윈도우 토스트 또는 트레이 풍선 알림을 사용	启用Windows Toast或工具提示通知	Use Windows Toast Notification or System Tray Bubble Notification	通知バナー・タスクトレイからアラート	啟用後將開啟桌面通知
SETTING_TOAST_USE_TOAST	토스트 알림	Windows Toast	Windows Toast	トースト通知	啟用桌面通知
SETTING_TOAST_USE_STRONG_WIN_TOAST	+강한 알림	+强烈的通知	+Strong Toast	+アラートパワーアップ	重要通知
SETTING_TOAST_USE_STRONG_WIN_TOAST_TOOLTIP	알림에 집중되도록 시스템 소리를 일시적으로 줄이고 알림을 오랫동안 띄움 (운영체제 지원 시 가능)	暂时减少系统语音,以便集中通知(操作系统支持时可用)	Lowers System Volume temporarily and increases pop-up time to strengthen notification (Available only if supported by OS)	アラートが聞こえやすくなるようにシステム音を一時的に小さくしてアラートポップアップを長くする	暫時減少系統語音,以便集中通知(操作系統支持時可用)
SETTING_TOAST_USE_VOICE	음성 알림	语音通知	Voice Notification	ボイスアラート	語音通知
SETTING_TOAST_USE_VOICE_TOOLTIP	소리가 나지 않는 경우 대체 알림으로 사용 가능, 음성 데이터 미설치 또는 해당 인형 음성이 존재하지 않을 경우 기본 알림 소리를 출력함	不出语音时可使用代替通知, 未设置语音数据或不存在相应人形语音时,输出基本提示语音	Plays default sound if voice data is not installed or missing. Can replace with personalized sound if voice data is missing	サウンドが出ない場合、代替のアラートで設定可能、音声データ設置してないか該当人形の音声データが存在してない場合基本アラートサウンドを出力する	沒有語音時可使用代替通知, 未設置語音數據或不存在相應人形語音時,輸出基本提示語音
SETTING_TOAST_USE_VOICE_COMMENT	[a href='{0}']링크[/a]의 음성데이터 설치 시 인형 음성 알림 사용가능	安装[a href='{0}']链接[/a]的语音数据时可使用人形语音通知	Download T-Doll voice data from [a href='{0}']link[/a] to use T-Doll Voice Notification	[a href='{0}']アドレス[/a]の音声データをインストールした場合、人形ボイスアラート設定可能	安裝[a href='{0}']連接[/a]的語音數據時可使用人形語音通知
SETTING_TOAST_USE_ONLY_TTS_VOICE	├ TTS 음성만 사용	├ Use TTS Voice Only	├ Use TTS Voice Only	├ 合成音声のみ使用(TTS)	├ 只使用合成人聲
SETTING_TOAST_USE_ONLY_ADJUTANT_VOICE	├ 부관 음성만 사용	├ 只要副官的语音	├ Adjutant Voice Only	├ アラート設定（協助者）	├ 只使用協助者的語音
SETTING_TOAST_USE_ONLY_ADJUTANT_VOICE_TOOLTIP	모든 인형 음성을 부관 음성으로 변경	所有人形的语音换成副官的语音	Play all T-Doll voice notifications as Adjutant's voice	全ての人形ボイスを協助者ボイスに変更	通知時只使用協助者的語音
SETTING_TOAST_USE_START_VOICE	└ 군수/자율 출발	└ 后勤支援/自律作战执行语音	└ Logistics/Auto-Battle	└ 後方支援/自律作戦	└ 後勤支援/自律作戰通知
SETTING_TOAST_USE_START_VOICE_TOOLTIP	군수/자율 출발 시 음성 알림	后勤支援/自律作战执行时，语音通知	Enable T-Doll voice notification when starting Logistics/Auto-Battle	後方支援/自律作戦の開始時に人形の音声で通知する	後勤支援/自律作戰執行時通知
SETTING_TOAST_VOICE_VOLUME	음성 알림 볼륨	语音通知音量	Voice Volume	ボイスアラートのボリューム	通知音量
SETTING_TOAST_VOICE_VOLUME_TOOLTIP	음성 알림 볼륨 설정	设定语音通知音量	Set voice volume	ボイスアラートのボリューム設定	設定語音通知音量
SETTING_TOAST_USE_SOUNDPLAYER_API	구버전 소리 API	旧版本语音API	Use SoundPlayerAPI	古いバージョンのサウンドAPI	舊版本語音API
SETTING_TOAST_USE_SOUNDPLAYER_API_TOOLTIP	음성 알림 소리에 문제가 있는 경우에만 사용할 것[br][font color='#F44336'](사용 시 볼륨 설정 사용 불가)[/font]	只在语音通知有问题时使用[br][font color='#F44336'](使用时不可设定音量)[/font]	Use only if there is a problem with voice notification[br][font color='#F44336'](Can't adjust volume when enabled)[/font]	ボイスアラートに問題がある場合設定してください[br][font color='#F44336'](設定した場合ボリューム設定不可)[/font]	只在語音通知有問題時使用[br][font color='#F44336'](使用時不可設定音量)[/font]
SETTING_TOAST_TEST_BUTTON	테스트 알림	测试通知	TEST	テストアラート	測試通知
SETTING_MAIL_GROUP	메일 알림	邮件通知	Email Notification	メールアラート	郵件通知
SETTING_MAIL_USE_MAIL	메일 알림	邮件通知	Email Notification	メールアラート	郵件通知
SETTING_MAIL_USE_MAIL_TOOLTIP	Android/iOS 기기 사용자가 사용할 수 있는 메일 알림	Android/iOS机器用户可以使用的邮件通知	Sends email notification for Android/iOS device users	Android/iOS 端末利用者が使えるメールアラート	啟用郵件通知
SETTING_MAIL_USE_MAIL_COMMENT	[a href='{0}']링크[/a]를 참고해서 메일주소 설정 후 사용가능	按[a href='{0}']链接[/a]设定邮件后可使用	Refer to this [a href='{0}']guide[/a] to set up your email	[a href='{0}']サイト[/a]を参考してメールアドレス設定後使える	依照[a href='{0}']連結[/a]設定郵件後可使用
SETTING_MAIL_SMTP_ADDRESS	SMTP 주소	SMTP 地址	SMTP Address	SMTP 住所	SMTP 地址
SETTING_MAIL_FROM_MAIL_ADDRESS	알림 보낼 메일주소 (알리미용)	发送通知的邮件地址 (通知器专用)	Email Address (For GFAlarm)	アラートを受けるメールアドレス(アラート用)	發送通知的電郵地址
SETTING_MAIL_FROM_MAIL_PASSWORD	알림 보낼 메일 앱 비밀번호 (알리미용)	发送通知的邮件的密码 (通知器专用)	Email Password (For GFAlarm)	アラートを受けるメールパスワード (アラート用)	發送通知的電郵密碼
SETTING_MAIL_TO_MAIL_ADDRESS	알림 받을 메일주소	收到通知的邮件地址	Receiving Email Address	アラートを受けるメールアドレス	接收通知的電郵地址
SETTING_MAIL_TEST_BUTTON	테스트 메일	测试邮件	TEST	テストメール	測試通知
SETTING_TOAST_USE_TAB	탭 알림	页签通知	Tab Notification	タブアラート	顯示通知分頁
SETTING_TOAST_USE_TAB_TOOLTIP	완료된 알림 존재 시 탭을 하이라이트	已完成的提示存在时,以页签为重要标志	Highlights Tab with completed notification	完了したアラートがある場合タブをハイライトする	已完成的通知存在時,使分頁閃爍提示
SETTING_FILE_GROUP	파일 저장	储存文件	File Save	ファイル保存	儲存文件
SETTING_FILE_ENCODING	인코딩	编码	Encoding	エンコーディング	編碼
SETTING_FILE_SAVE_USER_INFO	사용자정보 저장	储存用户信息	Save User Info	ユーザー情報保存	儲存用戶資料
SETTING_FILE_SAVE_USER_INFO_TOOLTIP	[a href='https://github.com/Bunnyspa/GFChipCalc']칩셋조합기[/a]에서 사용가능[br]로그인 시 전체 사용자정보 저장 [font color='#ffb400'](user_info.json)[/font]	[a href='https://github.com/Bunnyspa/GFChipCalc']芯片组合机[/a]可使用[br]登录时存用户的所有信息 [font color='#ffb400'](user_info.json)[/font]	Used for [a href='https://github.com/Bunnyspa/GFChipCalc']GFChipCalc[/a][br]Save User Info when logging in [font color='#ffb400'](user_info.json)[/font]	[a href='https://github.com/Bunnyspa/GFChipCalc']テトリス組み合わせツール[/a]で使える[br]ログインする際、全てのユーザー情報保存 [font color='#ffb400'](user_info.json)[/font]	[a href='https://github.com/Bunnyspa/GFChipCalc']晶片组合機[/a]可使用[br]登入時存用户的所有訊息 [font color='#ffb400'](user_info.json)[/font]
SETTING_FILE_SAVE_USER_INFO_COMMENT	[a href='https://github.com/Bunnyspa/GFChipCalc']칩셋조합기[/a]에서 사용가능	[a href='https://github.com/Bunnyspa/GFChipCalc']芯片组合机[/a]可使用	Used for [a href='https://github.com/Bunnyspa/GFChipCalc']GFChipCalc[/a]	[a href='https://github.com/Bunnyspa/GFChipCalc']テトリス組み合わせツール[/a]で使える	[a href='https://github.com/Bunnyspa/GFChipCalc']晶片组合器[/a]可使用
SETTING_FILE_SAVE_ITEM_INFO	아이템정보 저장	储存物品信息	Save Item Info	アイテム情報保存	儲存物品資料
SETTING_FILE_SAVE_ITEM_INFO_TOOLTIP	로그인 시 아이템정보 저장 [font color='#ffb400'](item_info.csv)[/font]	登录时存储存物品信息 [font color='#ffb400'](item_info.csv)[/font]	Save Item Info when logging in [font color='#ffb400'](item_info.csv)[/font]	ログインする際、アイテム情報保存 [font color='#ffb400'](item_info.csv)[/font]	登入時儲存物品資料 [font color='#ffb400'](item_info.csv)[/font]
SETTING_FILE_SAVE_DOLL_INFO	인형정보 저장	储存人形信息	Save Doll Info	人形情報保存	儲存人形資料
SETTING_FILE_SAVE_DOLL_INFO_TOOLTIP	로그인 시 인형정보 저장 [font color='#ffb400'](doll_info.csv)[/font]	登录时储存人形信息 [font color='#ffb400'](doll_info.csv)[/font]	Save T-Doll Info when logging in [font color='#ffb400'](doll_info.csv)[/font]	ログインする際、人形情報保存[font color='#ffb400'](doll_info.csv)[/font]	登入時儲存人形資料 [font color='#ffb400'](doll_info.csv)[/font]
SETTING_FILE_SAVE_EQUIP_INFO	장비정보 저장	储存装备信息	Save Equip Info	装備情報保存	儲存裝備資料
SETTING_FILE_SAVE_EQUIP_INFO_TOOLTIP	로그인 시 장비정보 저장 [font color='#ffb400'](equip_info.csv)[/font]	登录时储存装备信息 [font color='#ffb400'](equip_info.csv)[/font]	Save Equip Info when logging in [font color='#ffb400'](equip_info.csv)[/font]	ログインする際、装備情報保存 [font color='#ffb400'](equip_info.csv)[/font]	登入時儲存裝備資料 [font color='#ffb400'](equip_info.csv)[/font]
SETTING_FILE_SAVE_FAIRY_INFO	요정정보 저장	储存妖精信息	Save Fairy Info	妖精情報保存	儲存妖精資料
SETTING_FILE_SAVE_FAIRY_INFO_TOOLTIP	로그인 시 요정정보 저장 [font color='#ffb400'](fairy_info.csv)[/font]	登录时储存妖精信息 [font color='#ffb400'](fairy_info.csv)[/font]	Save Fairy Info when logging in [font color='#ffb400'](fairy_info.csv)[/font]	ログインする際、妖精情報保存 [font color='#ffb400'](fairy_info.csv)[/font]	登入時儲存妖精資料 [font color='#ffb400'](fairy_info.csv)[/font]
SETTING_FILE_SAVE_SANGVIS_INFO	혼합세력정보 저장	储存融合势力	Save Coalition Info	融合勢力保存	儲存融合勢力
SETTING_FILE_SAVE_SANGVIS_INFO_TOOLTIP	로그인 시 혼합세력정보 저장 [font color='#ffb400'](coalition_info.csv)[/font]	登录时融合势力信息 [font color='#ffb400'](coalition_info.csv)[/font]	Save Coalition Info when logging in [font color='#ffb400'](coalition_info.csv)[/font]	ログインする際、融合勢力保存 [font color='#ffb400'](coalition_info.csv)[/font]	登入時融合勢力信息 [font color='#ffb400'](coalition_info.csv)[/font]
SETTING_FILE_SAVE_RESCUE_DOLL	획득인형 저장	储存获得的人形	Save Rescue Doll	獲得人形情報保存	儲存獲得的人形
SETTING_FILE_SAVE_RESCUE_DOLL_TOOLTIP	전역 중 획득한 인형 저장 [font color='#ffb400'](rescued_doll.csv)[/font]	储存作战中获得的人形 [font color='#ffb400'](rescued_doll.csv)[/font]	Save Rescued T-Dolls list [font color='#ffb400'](rescued_doll.csv)[/font]	戦役クリア中に獲得した人形情報保存 [font color='#ffb400'](rescued_doll.csv)[/font]	儲存作战中獲得的人形 [font color='#ffb400'](rescued_doll.csv)[/font]
SETTING_FILE_SAVE_THEATER_EXERCISE_WAVE	국지전 웨이브 저장	储存战区攻略系统的波	Save Theater Exercise	戦区Wave情報保存	儲存戰區攻略系统的波
SETTING_FILE_SAVE_THEATER_EXERCISE_WAVE_TOOLTIP	국지전 웨이브 정보 저장 [font color='#ffb400'](theater_exercise.csv)[/font]	储存波的信息 [font color='#ffb400'](theater_exercise.csv)[/font]	Save Theater wave info [font color='#ffb400'](theater_exercise.csv)[/font]	戦区Wave情報保存 [font color='#ffb400'](theater_exercise.csv)[/font]	儲存波的信息 [font color='#ffb400'](theater_exercise.csv)[/font]
SETTING_FILE_SAVE_THEATER_EXERCISE_WAVE_COMMENT	[a href='{0}']국지전 시트[/a]에서 배치확인	[a href='{0}']在战区攻略系统的Sheet[/a]可以看敌人的安排	Refer to [a href='{0}']Theater Sheet[/a] for layout	[a href='{0}']戦区シート[/a]で配置確認	[a href='{0}']在戰區攻略系统的Sheet[/a]可以看敵人的安排
SETTING_FILE_SAVE_THEATER_EXERCISE_OPTIMIZE_TEAM	국지전 최적편성 저장	Save Theater Optimize Team	Save Theater Optimize Team	戦区最適化編成保存	儲存戰區最好的隊伍
SETTING_FILE_SAVE_THEATER_EXERCISE_OPTIMIZE_TEAM_TOOLTIP	국지전 최적제대 정보 저장 [font color='#ffb400'](theater_optimize_team.csv)[/font]	국지전 최적제대 정보 저장 [font color='#ffb400'](theater_optimize_team.csv)[/font]	국지전 최적제대 정보 저장 [font color='#ffb400'](theater_optimize_team.csv)[/font]	それぞれの戦区において予想戦力を保存[font color='#ffb400'](theater_optimize_team.csv)[/font]	保存每個戰區的預期強度 [font color='#ffb400'](theater_optimize_team.csv)[/font]
SETTING_FILE_SAVE_BATTLE_TESTER	테스터 프리셋 저장	储存测试者预置	Save Battle Tester Preset	テストプリセット	儲存測試者預設
SETTING_FILE_SAVE_BATTLE_TESTER_TOOLTIP	[a href='https://gall.dcinside.com/micateam/1506585']전투 테스터[/a]에서 사용가능[br]전투 테스터용 프리셋 저장 [font color='#ffb400'](Preset)[/font]	[a href='https://gall.dcinside.com/micateam/1506585']在战斗测试[/a]可使用[br]储存战斗测试者预置[br][font color='#ffb400'](Preset)[/font]	Used for [a href='https://gall.dcinside.com/micateam/1506585']Battle Tester[/a][br]Save preset for Batter Tester[br][font color='#ffb400'](Preset)[/font]	[a href='https://gall.dcinside.com/micateam/1506585']戦闘テスター[/a]で使える[br]戦闘テスター用プリセット保存[br][font color='#ffb400'](Preset)[/font]	[a href='https://gall.dcinside.com/micateam/1506585']在戰鬥測試[/a]可使用[br]儲存戰鬥測試者預設[br][font color='#ffb400'](Preset)[/font]
SETTING_FILE_SAVE_BATTLE_TESTER_COMMENT	[a href='https://gall.dcinside.com/micateam/1506585']전투 테스터[/a]에서 사용가능	[a href='https://gall.dcinside.com/micateam/1506585']在战斗测试[/a]可使用	Used for [a href='https://gall.dcinside.com/micateam/1506585']Battle Tester[/a]	[a href='https://gall.dcinside.com/micateam/1506585']戦闘テスター[/a]で使える	[a href='https://gall.dcinside.com/micateam/1506585']在戰鬥測試[/a]可使用
SETTING_FILE_SAVE_PRODUCTION	제조정보 저장	Save Production	Save Production	製造履歴保存	儲存製造紀錄 [font color='#ffb400'](production.csv)[/font]
SETTING_FILE_SAVE_PRODUCTION_TOOLTIP	제조 기록 저장 [font color='#ffb400'](production.csv)[/font]	Save production history [font color='#ffb400'](production.csv)[/font]	Save production history [font color='#ffb400'](production.csv)[/font]	製造の結果を保存 [font color='#ffb400'](production.csv)[/font]	儲存製造紀錄 [font color='#ffb400'](production.csv)[/font]
SETTING_WINDOW_GROUP	윈도우	窗口	Window	ウィンドウ	視窗
SETTING_WINDOW_HIDE_TO_TRAY	트레이 숨김	隐藏到任务栏托盘	Hide to Tray	タスクトレイに最小化	隱藏到工作欄
